书名,作者,出版社,出版日期,书价,评论热度
芒果街上的小屋,[美国]桑德拉·希斯内罗丝, 译林出版社,2006.0,24.5,46778.0
会有天使替我爱你,明晓溪, 新世界出版社,2009.0,20.0,46271.0
人生若只如初见,安意如, 天津教育出版社,2006.0,23.8,45892.0
地下铁,幾米, 辽宁教育出版社,2002.0,32.0,45878.0
海底两万里,[法国]儒尔·凡尔纳, 译林出版社,2002.0,19.5,45663.0
泡沫之夏,明晓溪, 新世界出版社,2012.0,20.0,45448.0
格林童话全集,[德国]格林兄弟, 人民文学出版社,1994.0,21.45,45070.0
孤独六讲,蒋勋, 广西师范大学出版社,2009.0,36.0,44863.0
步步惊心,桐华, 民族出版社,2018.0,25.0,44834.0
小团圆,张爱玲, 北京十月文艺出版社,2012.0,28.0,44693.0
孩子你慢慢来,龙应台, 生活·读书·新知三联书店,2009.0,28.0,44524.0
菊与刀,[美]鲁思·本尼迪克特, 商务印书馆,1990.0,16.0,44483.0
第七天,余华, 新星出版社,2013.0,29.5,44091.0
乖，摸摸头,大冰, 湖南文艺出版社,2014.0,36.0,43375.0
麦琪的礼物,[美]欧·亨利, 上海社会科学院出版社,2003.0,25.0,43141.0
查令十字街84号,[美]海莲·汉芙, 译林出版社,2005.0,18.0,43014.0
你今天真好看,[美]莉兹·克里莫,天津人民出版社,2013.0,39.0,42602.0
此间的少年,江南, 华文出版社,2018.0,25.0,42318.0
在路上,[美]杰克·凯鲁亚克, 上海译文出版社,2012.0,28.0,42060.0
杀死一只知更鸟,[美]哈珀·李, 译林出版社,2012.0,32.0,42041.0
原来你还在这里,辛夷坞, 朝华出版社,2015.0,25.0,41903.0
流浪地球,刘慈欣, 湖北长江出版集团，长江文艺出版社,2008.0,28.0,41756.0
月亮忘記了,幾米, 格林,2000.0,299.0,41351.0
尘埃落定,阿来, 人民文学出版社,1998.0,22.0,41046.0
刀锋,[英]毛姆, 上海译文出版社,2007.0,18.0,40945.0
左耳,饶雪漫, 当代世界出版社,0.0,22.0,40892.0
兄弟（下）,余华, 上海文艺出版社,2006.0,27.0,40850.0
1Q84 BOOK 3,[日]村上春树, 南海出版公司,2011.0,39.5,40749.0
常识,梁文道, 广西师范大学出版社,2009.0,38.0,39750.0
那些回不去的年少时光,桐华, 江苏文艺出版社,2017.0,23.8,39670.0
金锁记,张爱玲, 哈尔滨出版社,2005.0,13.5,39505.0
球状闪电,刘慈欣, 四川科学技术出版社,2005.0,22.0,39378.0
盗墓笔记2,南派三叔, 中国友谊出版公司,2005.0,26.8,39122.0
小时代2.0虚铜时代,郭敬明, 长江文艺出版社,2008.0,26.8,39101.0
雷雨,曹禺, 人民文学出版社,1999.0,9.2,38956.0
一個人住第5年,高木直子, 大田,2019.0,220.0,38928.0
荆棘鸟,[澳]考琳·麦卡洛, 译林出版社,1998.0,28.0,38648.0
东霓,笛安, 长江文艺出版社,2007.0,26.8,38541.0
时间旅行者的妻子,[美]奥德丽·尼芬格, 人民文学出版社,2014.0,29.9,38463.0
像少年啦飞驰,韩寒, 作家出版社,2011.0,16.0,38397.0
长恨歌,王安忆, 南海出版公司,2003.0,22.0,38057.0
水浒传（全二册）,[明]施耐庵, 人民文学出版社,1997.0,50.6,37917.0
秘密,[日]东野圭吾, 海南出版社,2008.0,29.8,37797.0
失恋33天,鲍鲸鲸, 中信出版社,2016.0,25.0,37789.0
伊豆的舞女,[日]川端康成, 广西师范大学出版社,2002.0,23.8,37581.0
零下一度,韩寒, 上海人民出版社,2001.0,12.0,37500.0
瓦尔登湖,[美]梭罗, 上海译文出版社,2006.0,11.0,37305.0
悲惨世界（上中下）,[法]雨果, 人民文学出版社,1992.0,66.0,36991.0
哭泣的骆驼,三毛, 哈尔滨出版社,2003.0,15.8,36865.0
倚天屠龙记(共四册),金庸, 三联书店,1999.0,47.0,36727.0
飞鸟集,[印]罗宾德拉纳德·泰戈尔, 哈尔滨出版社,2004.0,16.8,36627.0
红与黑,[法]司汤达, 人民文学出版社,2002.0,20.0,36351.0
被窝是青春的坟墓,七堇年, 长江文艺出版社,2014.0,22.0,36115.0
西游记（全二册）,吴承恩, 人民文学出版社,2004.0,47.2,36041.0
鹿鼎记（全五册）,金庸, 广州出版社 花城出版社,2008.0,108.0,35962.0
狂人日记,鲁迅, 京华出版社,2006.0,39.8,35881.0
最好的我们,八月长安, 湖南文艺出版社,2013.0,55.0,35341.0
你好，旧时光（上 下）,八月长安, 新世界出版社,2005.0,39.8,35129.0
盗墓笔记3,南派三叔, 中国友谊出版公司,2019.0,26.8,34701.0
我的天才女友,[意]埃莱娜·费兰特, 人民文学出版社,2017.0,42.0,34565.0
大地之灯,七堇年, 长江文艺出版社,2010.0,22.0,34461.0
呼兰河传,萧红, 百花文艺出版社,2005.0,19.0,34294.0
我与地坛,史铁生, 春风文艺出版社,2002.0,25.0,34224.0
夏洛的网,[美]E.B.怀特, 上海译文出版社,2004.0,17.0,34206.0
匆匆那年（上下）,九夜茴, 东方出版社,2015.0,29.0,34065.0
时生,[日]东野圭吾, 南海出版公司,2010.0,25.0,33770.0
橙,安东尼, 长江文艺出版社,2010.0,28.8,33680.0
那些年，我们一起追的女孩,九把刀, 花山文艺出版社,2004.0,20.0,33369.0
虚无的十字架,[日]东野圭吾, 湖南文艺出版社,2015.0,39.8,33101.0
海贼王,尾田荣一郎, 浙江人民美术出版社,2007.0,7.5,32948.0
人生,路遥, 北京十月文艺出版社,2009.0,20.0,32945.0
陆犯焉识,严歌苓, 作家出版社,2011.0,35.0,32465.0
盗墓笔记4,南派三叔, 中国友谊出版公司,2012.0,32.8,32225.0
香水,[德]帕·聚斯金德, 上海译文出版社,2016.0,20.0,32060.0
历史深处的忧虑,林达, 生活·读书·新知三联书店,1997.0,19.0,32060.0
变形记,[奥]卡夫卡, 浙江文艺出版社,2003.0,16.0,31987.0
世界尽头与冷酷仙境,[日]村上春树, 上海译文出版社,2002.0,23.0,31857.0
中国历代政治得失,钱穆, 生活·读书·新知三联书店,2001.0,12.0,31569.0
天使与魔鬼,[美]丹.布朗, 人民文学出版社,2017.0,29.8,31377.0
鬼吹灯之云南虫谷,天下霸唱, 安徽文艺出版社,2006.0,26.8,30628.0
浮生六记,[清]沈复, 人民文学出版社,1999.0,5.7,30618.0
蔷薇岛屿,安妮宝贝, 作家出版社,2002.0,18.0,30265.0
